"sample_id","cis-aconitic","citric","fumaric","malic","oxalic","shikimic","trans-aconitic"
"1",0,0,0,0,0,0,13.4285740951613
"2",0,0,0,0,42.16483026,0,6.6248298740457
"3",1.65500458313873,0,0,0,0,0,23.0908928321624
"4",0,0,0,0,0,0,12.2032094273518
"5",0.633266008116471,39.26912089464,0,0,0,0.351421760890759,12.5276647290399
"6",0.851514216344884,0,0,0,0,0,15.7065784658093
"7",0.611033067417292,0,0,0,0,0,11.4972274451149
"8",1.71405115755494,126.6952275378,0.98903583603,440.66625917325,51.853066596,1.91580622359646,55.3127288341308
"9",0,0,0,0,0,0,4.8102334142643
"10",0,0,0,0,79.50342231,0,5.27579965139998
"11",0,0,0,0,0,0,9.64753747224911
"12",0,0,0,0,0,0,17.8518043484848
"13",0,0,0,0,0,0,20.4089195480221
"14",0.912618831163137,0,0,0,0,0,21.0464934881665
"15",0,0,0,0,72.836952894,0,17.7737950246863
"16",1.3383083553817,0,0,0,0,0,26.4644047535571
"17",0,0,0,0,0,0,27.4645927678016
"18",2.82553686307557,0,0,52.01668169214,0,0,43.8648158740733
"19",0,0,0,0,0,0,16.1611939222887
"20",1.18783813238537,0,0,0,0,0,14.1486789436317
"21",0,0,0,0,271.61546832,2.2379081025649,9.00155478016536
"22",1.14461928394248,0,0,0,0,0,25.0702807727801
"23",1.00860766682152,0,0,0,0,0,15.0153079842429
"24",0,0,0,0,0,0,11.5308253907038
"25",0,0,0,0,0,0,11.1238827832407
"26",0,0,0,0,0,0,3.99036374922836
"27",0,0,0,0,0,0,15.5465483835302
"28",1.1924752636726,0,0,0,0,0,26.108716944666
"29",0,0,0,0,0,0,10.2802257465663
"30",0,0,0,0,0,0,9.0070879438734
"31",2.05749319002834,0,0,0,170.802809298,0,51.0414142283655
"32",0,0,0,0,0,0,13.3444211719422
