"sample_id","citric","fumaric","malic","oxalic","shikimic"
"65",0,1.2134561364,0,43.74593712,1.03371899925861
"66",0,2.739530568,131.282209036,87.950307,3.32373326276174
"67",0,1.77943260795,0,68.7811194,2.50803259492624
"68",0,0.96183355476,0,0,0
"69",0,0,0,0,0.404154849493772
"73",0,3.333739326,0,94.2416034,2.26812262720885
"74",0,3.178147491,0,93.2899863,4.56132236100869
"75",0,0.46813538112,0,31.715120184,0.864224869089059
"76",0,1.52328434094,0,46.753137186,0
"77",0,0,0,19.001065578,0
"81",0,3.747761016,123.629196603,62.9363718,2.01430164292983
"82",0,1.77424311825,43.24433273655,39.518272368,0.626615895341302
"83",0,1.6007074416,50.42806194888,0,0.934738981784358
"84",0,0.86970717078,24.64660205326,31.289440338,1.06381830476416
"85",0,0.87873056865,0,0,1.71238683476714
"89",0,2.28959682,99.685911886,88.1456721,3.38371499068884
"90",117.462187212,3.165159258,178.255062392,143.5294272,4.05232487317546
"91",0,0,0,40.30454037,0.677410591380797
"92",0,0,0,0,0
"93",0,1.1524613514,34.56225504622,45.180277074,0.995737349167836
