"sample_id","acetic","citric","fumaric","malic","oxalic","shikimic"
"33",0,0,0,0,0,0.771215914022016
"34",0,0,0,0,0,0.16191225902366
"35",0,0,0,0,0,0.159076964539725
"36",0,0,0,10.9050694910667,0,0.118924224409855
"37",0,0,0,13.6356585845333,0,0.256193143010592
"38",0,13.03918670544,0.11782404984,13.1577503821867,0,0.196889174721103
"39",0,0,0,13.8552974234767,0,0.0745524305359614
"40",0,0,0,0,0,0
"41",0,0,0,0,0,0
"42",0,20.90072557824,0,0,0,0
"43",0,0,0,0,0,0.120980095310557
"44",0,0,0,0,0,0
"45",0,0,0,0,0,0.194062917032335
"46",0,17.59318227888,0,12.5484068042667,28.055652768,0.254986730855674
"47",0,28.3312601376,0,24.2491413252,0,0.277926635389444
"48",0,19.35165695908,0.11027311599,0,0,0.412682195334103
"49",9.41893625806667,10.20117104556,3.82909463103,18.6791006073833,0,1.06554320304184
"50",0,8.4721596324,0.0871778556,19.5431092989,0,0.425565276445371
"51",0,0,0,0,0,0
"52",0,0,0,0,0,0
"53",11.366243583,11.77416334368,0,21.00402762612,0,0.416659514807384
"54",0,18.6723938368,0.1490601892,22.9111430328,0,0.631584
"55",10.085485173,14.0816832348,0.2210228154,12.8082338912,0,0.478261088268317
"56",0,15.28589024208,0,14.76773450636,0,0.610891871749119
"57",0,12.0213864336,0.1170298989,10.9845227327,7.17701154,0.267206737121497
"58",0,29.69299382556,0.14756927005,20.55096661365,0,0.5599503
"59",0,0,0,0,4.004168278,0
"60",0,0,0,0,0,0
"61",0,20.81264534648,0.134904292,13.8540084163067,0,0.372044857063354
"62",0,20.10302335776,0.15187713072,7.1314009921,0,0.367020398949989
"63",0,14.30957367336,0,0,0,0.381395680863361
"64",0,0,0,0,0,0
