"sample_id","cis-aconitic","oxalic","trans-aconitic"
"1",0,0,10.6852585623004
"2",0,0,4.05604445176259
"3",2.25764851976465,0,19.0057109757671
"4",0,0,9.16611952773711
"5",0.734079466030905,0,5.82612052695702
"6",0.711942450943687,0,9.14075156362891
"7",0.584971822749909,0,5.4262938557993
"8",1.35024891394312,0,14.4888006418548
"9",0,40.037628429,5.16226514926317
"10",0,0,5.58692565328072
"11",0,0,7.02867452026801
"12",1.47237093847785,0,26.1826167280432
"13",0,0,17.6836685519952
"14",0,0,23.5251676986513
"15",1.66438349183532,0,18.7618615297831
"16",0,0,20.5108579517494
"17",1.4069932736723,0,16.0017001513856
"18",1.95018731228627,0,23.106910229232
"19",0,0,5.92251704646623
"20",0.738618491578629,0,5.63711654961102
"21",0,0,7.48983689976372
"22",1.71930308480972,0,16.7088790236445
"23",0.726669212507028,0,6.75919113461546
"24",1.03775379196442,0,10.5353442718279
"25",0,0,12.5924166972401
"26",0,0,3.25447259720795
"27",1.62855527576842,0,23.2398762081733
"28",2.21187020158448,0,29.3332236887743
"29",0,0,10.9189507940543
"30",0,0,11.6089611618999
"31",3.65858539911824,55.632165876,57.672989417034
"32",1.25357333810822,0,14.8257393538628
